id	condition	cond2	tradhyp	controltrans	honesthyp	disclosurehyp	likemu_1	likejd_1	likepc_1	likepd_1	like	goodmu_1	goodjd_1	goodpc_1	goodpd_1	good	trustmu_1	trustjd_1	trustpc_1	trustpd_1	trust	honestmu_1	honestjd_1	honestpc_1	honestpd_1	honest	hypmu_1	hypjd_1	hyppc_1	hyppd_1	hyp	overall	age	gender	edu	income	generaltrustyou	previousexperience
106	controltrans	3	0	1	0	0		29	43		36		28	48		38		24	45		34.5		24	44		34		42	26		34	35.625	18	2	2	1	3	2
107	disclosurehyp	4	0	0	0	1	14			37	25.5	13			37	25	14			15	14.5	13			21	17	64			78	71	20.5	24	1	2	1	4	1
108	disclosurehyp	4	0	0	0	1	20	16			18	11	13			12	7	9			8	13	5			9	85	94			89.5	11.75	30	1	6	8	4	1
109	honesthyp	2	0	0	1	0	26	50			38	50	50			50	24	50			37	22	50			36	87	50			68.5	40.25	45	1	5	9	4	3
110	controltrans	3	0	1	0	0	35			53	44	60			77	68.5	64			79	71.5	54			83	68.5	100			11	55.5	63.125	36	2	5	5	4	1
111	disclosurehyp	4	0	0	0	1	23	43			33	44	35			39.5	19	34			26.5	29	32			30.5	77	78			77.5	32.375	46	1	5	6	4	2
112	tradhyp	1	1	0	0	0		0	47		23.5		26	0		13		0	6		3		0	0		0		99	6		52.5	9.875	22	1	4	5	3	2
113	tradhyp	1	1	0	0	0			0	0	0			0	0	0			0	0	0			0	0	0			100	100	100	0	22	1	4	4	1	1
114	tradhyp	1	1	0	0	0	54			61	57.5	48			67	57.5	42			39	40.5	41			46	43.5	90			83	86.5	49.75	31	2	4	4	5	1
115	controltrans	3	0	1	0	0			14	37	25.5			16	33	24.5			21	31	26			19	42	30.5			24	66	45	26.625	35	1	6	6	6	3
116	tradhyp	1	1	0	0	0		50	50		50		47	48		47.5		50	55		52.5		32	50		41		79	50		64.5	47.75	34	1	5	8	6	1
117	disclosurehyp	4	0	0	0	1	19			34	26.5	15			26	20.5	11			7	9	13			10	11.5	100			85	92.5	16.875	22	1	5	4	3	3
118	controltrans	3	0	1	0	0	100			72	86	0			69	34.5	0			78	39				70	70	0			63	31.5	57.375	35	1	5	10	5	5
119	controltrans	3	0	1	0	0	37	33			35	37	42			39.5	23	26			24.5	27	14			20.5	77	71			74	29.875	29	2	6	5	5	4
120	controltrans	3	0	1	0	0		47	45		46		45	45		45		40	42		41		42	28		35		53	51		52	41.75	32	1	5	4	5	3
121	controltrans	3	0	1	0	0		44	34		39		48	61		54.5		27	46		36.5		32	53		42.5		74	76		75	43.125	28	1	4	2	6	3
122	controltrans	3	0	1	0	0		24	29		26.5		24	32		28		21	28		24.5		29	17		23		37	31		34	25.5	20	1	4	9	3	2
123	tradhyp	1	1	0	0	0		44	35		39.5		44	44		44		41	19		30		37	18		27.5		66	16		41	35.25	56	1	4	7	6	2
124	tradhyp	1	1	0	0	0			50	32	41			50	37	43.5			30	40	35			12	35	23.5			85	89	87	35.75	45	2	4	1	5	1
125	honesthyp	2	0	0	1	0		51	9		30		54	48		51		15	2		8.5		51	7		29		83	99		91	29.625	34	2	4	1	1	1
126	controltrans	3	0	1	0	0		21	22		21.5		37	24		30.5		21	26		23.5		20	20		20		21	88		54.5	23.875	28	2	4	3	5	1
127	controltrans	3	0	1	0	0	50	50			50	50	50			50	49	50			49.5	37	50			43.5	65	0			32.5	48.25	38	2	5	6	4	1
128	honesthyp	2	0	0	1	0	26			19	22.5	45			23	34	29			18	23.5	65			20	42.5	67			71	69	30.625	38	1	6	8	5	2
129	tradhyp	1	1	0	0	0	21			62	41.5	24			85	54.5	20			62	41	13			90	51.5	98			77	87.5	47.125	42	1	4	6	5	2
130	tradhyp	1	1	0	0	0		16	17		16.5		21	31		26		19	17		18		32	13		22.5		87	83		85	20.75	66	2	5	4	4	2
131	controltrans	3	0	1	0	0	33	28			30.5	39	30			34.5	36	28			32	36	20			28	66	65			65.5	31.25	28	1	5	6	5	1
132	controltrans	3	0	1	0	0	0	0			0	15	0			7.5	0	0			0	0	0			0	69	50			59.5	1.875	45	2	4	4	2	2
133	honesthyp	2	0	0	1	0			12	31	21.5			43	41	42			14	35	24.5			21	42	31.5			87	91	89	29.875	29	1	5	6	6	1
134	honesthyp	2	0	0	1	0			76	60	68			50	52	51			28	45	36.5			38	43	40.5			37	43	40	49	33	1	5	3	3	3
135	honesthyp	2	0	0	1	0	30			77	53.5	0			77	38.5	0			80	40	0			72	36	100			100	100	42	30	2	4	1	4	1
136	tradhyp	1	1	0	0	0	4			5	4.5	27			23	25	26			7	16.5	13			4	8.5	94			100	97	13.625	23	1	4	5	3	3
137	tradhyp	1	1	0	0	0			67	29	48			74	20	47			37	24	30.5			68	15	41.5			85	86	85.5	41.75	34	1	3	5	5	1
138	controltrans	3	0	1	0	0	22	23			22.5	24	48			36	25	33			29	22	50			36	38	28			33	30.875	25	2	4	5	7	1
139	tradhyp	1	1	0	0	0			17	47	32			19	49	34			14	13	13.5			13	12	12.5			89	87	88	23	60	1	5	7	5	1
140	controltrans	3	0	1	0	0	41	41			41	40	43			41.5	41	41			41	39	41			40	40	49			44.5	40.875	24	1	4	3	6	1
141	controltrans	3	0	1	0	0			52	52	52			51	51	51			53	51	52			52	52	52			52	52	52	51.75	32	2	6	6	4	1
142	disclosurehyp	4	0	0	0	1	0			0	0	25			0	12.5	23			0	11.5	100			0	50	100			100	100	18.5	28	1	2	5	7	2
143	controltrans	3	0	1	0	0		24	42		33		48	24		36		26	42		34		27	42		34.5		0	15		7.5	34.375	57	2	6	10	7	1
144	controltrans	3	0	1	0	0	20			77	48.5	6			76	41	6			82	44	0			72	36	15			6	10.5	42.375	38	2	2	1	7	1
145	tradhyp	1	1	0	0	0		42	34		38		50	50		50		37	43		40		29	27		28		84	85		84.5	39	36	1	2	5	5	2
146	tradhyp	1	1	0	0	0	57	37			47	61	38			49.5	57	36			46.5	24	31			27.5	100	59			79.5	42.625	37	1	2	7	7	2
147	honesthyp	2	0	0	1	0			16	50	33			18	43	30.5			18	43	30.5			18	42	30			50	50	50	31	53	2	5	10	5	3
148	controltrans	3	0	1	0	0		54	35		44.5		54	38		46		48	15		31.5		45	14		29.5		44	94		69	37.875	27	2	4	5	4	3
149	tradhyp	1	1	0	0	0	45	21			33	37	56			46.5	38	14			26	14	33			23.5	27	62			44.5	32.25	21	2	5	2	5	2
150	tradhyp	1	1	0	0	0			39	39	39			37	38	37.5			39	50	44.5			35	37	36			65	65	65	39.25	21	2	4	1	4	2
151	honesthyp	2	0	0	1	0			2	1	1.5			1	50	25.5			0	1	0.5			0	0	0			100	100	100	6.875	24	1	4	5	7	1
152	tradhyp	1	1	0	0	0		13	16		14.5		16	17		16.5		6	17		11.5		11	13		12		10	88		49	13.625	55	2	6	7	2	2
